University of Stuttgart - IFT;time [s];force unfiltered [kN];force filtered [kN];drop no.;displacement [mm]
Date:;0,05000;0,03200;0,00000;1,00000;2268,00000
;0,05100;0,06400;0,00000;1,00000;2256,00000
Tester:;0,05100;0,00200;0,00000;0,00000;2242,00000
;0,05200;0,00100;0,00100;0,00000;2228,00000
;0,05200;-0,00700;0,00100;0,00000;2208,00000
Order-no:;0,05300;-0,00500;0,00200;0,00000;2187,00000
;0,05300;0,04400;0,00300;0,00000;2165,00000
Rope-no.:;0,05400;-0,02500;0,00400;0,00000;2142,00000
;0,05400;0,00500;0,00400;0,00000;2116,00000
Rope type:;0,05500;0,03600;0,00500;0,00000;2089,00000
Einfachseil;0,05500;-0,02800;0,00600;0,00000;2060,00000
Client:;0,05600;-0,01600;0,00600;0,00000;2026,00000
;0,05600;0,08000;0,00700;0,00000;1995,00000
Model:;0,05700;0,02300;0,00700;0,00000;1959,00000
;0,05700;-0,00900;0,00800;0,00000;1922,00000
Rope diameter:;0,05800;-0,04100;0,00800;0,00000;1882,00000
9.8 mm;0,05800;0,03900;0,00900;0,00000;1841,00000
Drop mass:;0,05900;-0,02700;0,00900;0,00000;1798,00000
80 kg;0,05900;0,03200;0,00900;0,00000;1754,00000
;0,06000;-0,05500;0,00900;0,00000;1708,00000
Force max. filtered;0,06000;0,03000;0,00900;0,00000;1659,00000
8,35 kN;0,06100;0,00400;0,00900;0,00000;1608,00000
;0,06100;-0,00300;0,00900;0,00000;1552,00000
Force max. unfiltered:;0,06200;0,02700;0,00800;0,00000;1498,00000
8,71 kN;0,06200;0,02300;0,00800;0,00000;1441,00000
;0,06300;-0,00900;0,00700;0,00000;1383,00000
Dynamic Elongation:;0,06300;0,01600;0,00700;0,00000;1322,00000
32,03%;0,06400;0,00100;0,00700;0,00000;1260,00000
;0,06400;0,04800;0,00600;0,00000;1190,00000
Static Elongation:;0,06500;-0,05600;0,00600;0,00000;1124,00000
6,00%;0,06500;0,01300;0,00600;0,00000;1056,00000
;0,06600;-0,00500;0,00600;0,00000;986,00000
"Number of
drops without breakage:";0,06600;0,06600;0,00600;0,00000;914,00000
;0,06700;0,00200;0,00600;0,00000;840,00000
;0,06700;0,03300;0,00600;0,00000;764,00000
H0 / Hmax:;0,06800;-0,03800;0,00600;0,00000;687,00000
-2504 mm / -3402 mm;0,06800;0,01600;0,00600;0,00000;607,00000
;0,06900;0,03300;0,00600;0,00000;526,00000
Comment:;0,06900;0,06000;0,00700;0,00000;443,00000
"before testing:      after testing: ";0,07000;-0,02300;0,00700;0,00000;358,00000
;0,07000;-0,00600;0,00800;0,00000;270,00000
Ambient temperature:;0,07100;-0,01900;0,00800;0,00000;181,00000
;0,07100;0,00900;0,00900;0,00000;90,00000
;0,07200;0,02000;0,00900;0,00000;-3,00000
;0,07200;-0,00900;0,00900;0,00000;-97,00000
;0,07300;-0,01600;0,00900;0,00000;-194,00000
;0,07300;0,04900;0,00900;0,00000;-285,00000
;0,07400;-0,00600;0,00900;0,00000;-385,00000
;0,07400;0,00900;0,00900;0,00000;-487,00000
;0,07500;-0,02000;0,00900;0,00000;-592,00000
;0,07500;0,03400;0,00900;0,00000;-697,00000
;0,07600;-0,01900;0,00900;0,00000;-804,00000
;0,07600;0,01500;0,00800;0,00000;-914,00000
;0,07700;-0,03400;0,00800;0,00000;-1026,00000
;0,07700;0,00200;0,00800;0,00000;-1139,00000
;0,07800;0,00100;0,00700;0,00000;-1255,00000
;0,07800;0,06200;0,00700;0,00000;-1372,00000
;0,07900;-0,02300;0,00600;0,00000;-1492,00000
;0,07900;0,04600;0,00600;0,00000;-1614,00000
;0,08000;-0,03600;0,00500;0,00000;-1736,00000
;0,08000;0,00100;0,00500;0,00000;-1861,00000
;0,08100;-0,01100;0,00500;0,00000;-1988,00000
;0,08100;0,01000;0,00400;0,00000;-2118,00000
;0,08200;0,02100;0,00400;0,00000;-2248,00000
;0,08200;0,05000;0,00400;0,00000;-2381,00000
;0,08300;-0,02700;0,00400;0,00000;-2514,00000
;0,08300;-0,01100;0,00400;0,00000;-2645,00000
