University of Stuttgart - IFT;time [s];force unfiltered [kN];force filtered [kN];drop no.;displacement [mm]
;0,17150;0,03633;0,03724;0,00000;-3042,00000
;0,17200;-0,02133;0,03661;0,00000;-3043,00000
;0,17250;0,05876;0,03563;0,00000;-3043,00000
;0,17300;-0,00275;0,03439;0,00000;-3043,00000
;0,17350;0,02480;0,03295;0,00000;-3043,00000
;0,17400;0,02800;0,03139;0,00000;-3043,00000
;0,17450;0,04018;0,02978;0,00000;-3043,00000
;0,17500;0,04210;0,02821;0,00000;-3042,00000
;0,17550;0,00045;0,02675;0,00000;-3041,00000
;0,17600;0,03185;0,02543;0,00000;-3040,00000
;0,17650;0,07478;0,02427;0,00000;-3038,00000
;0,17700;-0,02453;0,02332;0,00000;-3037,00000
;0,17750;0,02929;0,02256;0,00000;-3037,00000
;0,17800;0,01775;0,02195;0,00000;-3035,00000
;0,17850;-0,00275;0,02144;0,00000;-3035,00000
;0,17900;-0,02325;0,02099;0,00000;-3034,00000
;0,17950;-0,06746;0,02046;0,00000;-3033,00000
;0,18000;0,01007;0,01972;0,00000;-3033,00000
;0,18050;-0,01684;0,01871;0,00000;-3033,00000
;0,18100;-0,02709;0,01742;0,00000;-3033,00000
;0,18150;-0,03735;0,01587;0,00000;-3032,00000
;0,18200;-0,03606;0,01403;0,00000;-3032,00000
;0,18250;-0,05272;0,01188;0,00000;-3032,00000
;0,18300;-0,01428;0,00942;0,00000;-3032,00000
;0,18350;0,02480;0,00671;0,00000;-3032,00000
;0,18400;-0,00980;0,00390;0,00000;-3032,00000
;0,18450;0,03505;0,00115;0,00000;-3033,00000
;0,18500;0,00302;-0,00142;0,00000;-3034,00000
;0,18550;0,01135;-0,00369;0,00000;-3034,00000
;0,18600;0,02544;-0,00560;0,00000;-3035,00000
;0,18650;0,02544;-0,00709;0,00000;-3036,00000
;0,18700;0,04210;-0,00810;0,00000;-3037,00000
;0,18750;-0,03094;-0,00862;0,00000;-3037,00000
;0,18800;0,00622;-0,00869;0,00000;-3037,00000
;0,18850;-0,01492;-0,00843;0,00000;-3037,00000
;0,18900;0,01519;-0,00792;0,00000;-3037,00000
;0,18950;-0,01620;-0,00724;0,00000;-3037,00000
;0,19000;-0,03671;-0,00645;0,00000;-3037,00000
;0,19050;-0,01428;-0,00566;0,00000;-3038,00000
;0,19100;-0,01364;-0,00496;0,00000;-3038,00000
;0,19150;-0,02774;-0,00439;0,00000;-3038,00000
;0,19200;0,04338;-0,00398;0,00000;-3038,00000
;0,19250;-0,05464;-0,00369;0,00000;-3038,00000
;0,19300;-0,03286;-0,00352;0,00000;-3038,00000
;0,19350;-0,04375;-0,00356;0,00000;-3038,00000
;0,19400;0,07093;-0,00381;0,00000;-3038,00000
;0,19450;-0,00147;-0,00418;0,00000;-3037,00000
;0,19500;0,04274;-0,00452;0,00000;-3037,00000
;0,19550;0,00750;-0,00473;0,00000;-3036,00000
;0,19600;0,02160;-0,00475;0,00000;-3036,00000
;0,19650;-0,03799;-0,00456;0,00000;-3036,00000
;0,19700;0,04979;-0,00423;0,00000;-3036,00000
;0,19750;-0,00467;-0,00376;0,00000;-3036,00000
;0,19800;0,01519;-0,00314;0,00000;-3036,00000
;0,19850;0,00622;-0,00241;0,00000;-3036,00000
;0,19900;0,06132;-0,00156;0,00000;-3036,00000
;0,19950;0,04274;-0,00054;0,00000;-3036,00000
;0,20000;0,02544;0,00070;0,00000;-3036,00000
;0,20050;-0,01492;0,00216;0,00000;-3036,00000
;0,20100;0,08887;0,00378;0,00000;-3036,00000
;0,20150;0,00622;0,00554;0,00000;-3036,00000
;0,20200;0,09079;0,00746;0,00000;-3036,00000
;0,20250;0,02224;0,00957;0,00000;-3036,00000
;0,20300;0,05107;0,01187;0,00000;-3036,00000
;0,20350;0,01647;0,01430;0,00000;-3036,00000
;0,20400;0,00814;0,01678;0,00000;-3036,00000
;0,20450;-0,01044;0,01918;0,00000;-3036,00000
;0,20500;0,05684;0,02140;0,00000;-3036,00000
;0,20550;0,02032;0,02339;0,00000;-3036,00000
;0,20600;0,08503;0,02519;0,00000;-3036,00000
;0,20650;-0,03158;0,02682;0,00000;-3036,00000
;0,20700;0,02672;0,02827;0,00000;-3037,00000
;0,20750;0,02352;0,02947;0,00000;-3037,00000
;0,20800;0,03441;0,03040;0,00000;-3037,00000
;0,20850;0,02352;0,03110;0,00000;-3037,00000
;0,20900;0,06709;0,03159;0,00000;-3037,00000
;0,20950;0,03954;0,03197;0,00000;-3037,00000
;0,21000;0,10681;0,03231;0,00000;-3037,00000
;0,21050;-0,00851;0,03272;0,00000;-3037,00000
;0,21100;0,08695;0,03324;0,00000;-3037,00000
;0,21150;0,02865;0,03384;0,00000;-3037,00000
;0,21200;0,06581;0,03455;0,00000;-3037,00000
;0,21250;0,01711;0,03535;0,00000;-3037,00000
;0,21300;0,05620;0,03620;0,00000;-3037,00000
;0,21350;0,01775;0,03706;0,00000;-3037,00000
;0,21400;0,05235;0,03790;0,00000;-3037,00000
;0,21450;0,00622;0,03866;0,00000;-3037,00000
;0,21500;0,09079;0,03934;0,00000;-3037,00000
;0,21550;0,00942;0,03994;0,00000;-3037,00000
;0,21600;0,09336;0,04048;0,00000;-3037,00000
;0,21650;0,03249;0,04102;0,00000;-3037,00000
;0,21700;0,02224;0,04156;0,00000;-3037,00000
;0,21750;0,05363;0,04207;0,00000;-3037,00000
;0,21800;0,03954;0,04253;0,00000;-3037,00000
;0,21850;0,00110;0,04291;0,00000;-3037,00000
;0,21900;0,03697;0,04316;0,00000;-3037,00000
;0,21950;0,00878;0,04323;0,00000;-3037,00000
;0,22000;0,06901;0,04312;0,00000;-3037,00000
;0,22050;-0,00211;0,04284;0,00000;-3037,00000
;0,22100;0,02032;0,04240;0,00000;-3037,00000
;0,22150;0,04018;0,04179;0,00000;-3037,00000
;0,22200;0,02480;0,04103;0,00000;-3037,00000
;0,22250;-0,00467;0,04014;0,00000;-3037,00000
;0,22300;-0,00916;0,03909;0,00000;-3037,00000
;0,22350;0,07413;0,03787;0,00000;-3037,00000
;0,22400;-0,01364;0,03651;0,00000;-3037,00000
;0,22450;0,00238;0,03507;0,00000;-3037,00000
;0,22500;0,06068;0,03354;0,00000;-3037,00000
;0,22550;0,00366;0,03198;0,00000;-3037,00000
;0,22600;0,01199;0,03044;0,00000;-3037,00000
;0,22650;0,01007;0,02892;0,00000;-3037,00000
;0,22700;0,00366;0,02741;0,00000;-3037,00000
;0,22750;0,00045;0,02591;0,00000;-3037,00000
;0,22800;-0,00851;0,02438;0,00000;-3037,00000
;0,22850;-0,02966;0,02281;0,00000;-3037,00000
;0,22900;0,02288;0,02114;0,00000;-3037,00000
;0,22950;0,00302;0,01940;0,00000;-3037,00000
;0,23000;-0,00467;0,01762;0,00000;-3037,00000
;0,23050;0,00878;0,01585;0,00000;-3037,00000
;0,23100;-0,02133;0,01409;0,00000;0,00000
;0,23150;0,01775;0,01236;0,00000;0,00000
;0,23200;-0,02197;0,01067;0,00000;0,00000
;0,23250;0,01071;0,00903;0,00000;0,00000
;0,23300;0,02480;0,00747;0,00000;0,00000
;0,23350;-0,01236;0,00603;0,00000;0,00000
;0,23400;-0,02709;0,00473;0,00000;0,00000
;0,23450;0,00110;0,00354;0,00000;0,00000
;0,23500;-0,00980;0,00241;0,00000;0,00000
;0,23550;0,06709;0,00137;0,00000;0,00000
;0,23600;-0,02197;0,00051;0,00000;0,00000
;0,23650;0,01199;-0,00015;0,00000;0,00000
;0,23700;0,03762;-0,00059;0,00000;0,00000
;0,23750;-0,00723;-0,00080;0,00000;0,00000
;0,23800;0,02736;-0,00078;0,00000;0,00000
;0,23850;-0,00787;-0,00055;0,00000;0,00000
;0,23900;-0,02774;-0,00017;0,00000;0,00000
;0,23950;-0,00851;0,00027;0,00000;0,00000
;0,24000;-0,05336;0,00067;0,00000;0,00000
;0,24050;0,02416;0,00093;0,00000;0,00000
;0,24100;-0,01877;0,00104;0,00000;0,00000
;0,24150;0,02096;0,00102;0,00000;0,00000
;0,24200;0,03249;0,00093;0,00000;0,00000
;0,24250;0,02352;0,00086;0,00000;0,00000
;0,24300;0,03121;0,00089;0,00000;0,00000
;0,24350;-0,03863;0,00106;0,00000;0,00000
;0,24400;0,03633;0,00134;0,00000;0,00000
;0,24450;0,07285;0,00172;0,00000;0,00000
;0,24500;-0,03350;0,00226;0,00000;0,00000
;0,24550;0,05427;0,00297;0,00000;0,00000
;0,24600;-0,01300;0,00382;0,00000;0,00000
;0,24650;-0,04247;0,00475;0,00000;0,00000
;0,24700;-0,02517;0,00562;0,00000;0,00000
;0,24750;0,01711;0,00631;0,00000;0,00000
;0,24800;-0,01620;0,00679;0,00000;0,00000
;0,24850;0,10297;0,00710;0,00000;0,00000
;0,24900;0,05363;0,00739;0,00000;0,00000
;0,24950;0,07157;0,00786;0,00000;0,00000
;0,25000;-0,02261;0,00859;0,00000;0,00000
;0,25050;0,03890;0,00956;0,00000;0,00000
;0,25100;0,02160;0,01068;0,00000;0,00000
;0,25150;0,03441;0,01193;0,00000;0,00000
;0,25200;0,02288;0,01327;0,00000;0,00000
;0,25250;0,03505;0,01466;0,00000;0,00000
;0,25300;0,06132;0,01612;0,00000;0,00000
;0,25350;0,05427;0,01764;0,00000;0,00000
;0,25400;0,03441;0,01928;0,00000;0,00000
;0,25450;0,08951;0,02104;0,00000;0,00000
;0,25500;0,00430;0,02293;0,00000;0,00000
;0,25550;0,05299;0,02491;0,00000;0,00000
;0,25600;0,04274;0,02692;0,00000;0,00000
;0,25650;0,04723;0,02893;0,00000;0,00000
;0,25700;-0,01748;0,03088;0,00000;0,00000
;0,25750;0,06517;0,03268;0,00000;0,00000
;0,25800;0,03377;0,03430;0,00000;0,00000
;0,25850;0,07542;0,03574;0,00000;0,00000
;0,25900;0,01904;0,03705;0,00000;0,00000
;0,25950;0,07349;0,03825;0,00000;0,00000
;0,26000;0,03313;0,03935;0,00000;0,00000
;0,26050;0,07606;0,04038;0,00000;0,00000
;0,26100;0,00622;0,04135;0,00000;0,00000
;0,26150;0,09784;0,04226;0,00000;0,00000
;0,26200;-0,00980;0,04310;0,00000;0,00000
;0,26250;0,10553;0,04387;0,00000;0,00000
;0,26300;0,02288;0,04458;0,00000;0,00000
;0,26350;0,09271;0,04526;0,00000;0,00000
;0,26400;-0,01172;0,04593;0,00000;0,00000
;0,26450;0,08759;0,04656;0,00000;0,00000
;0,26500;0,02352;0,04712;0,00000;0,00000
;0,26550;0,04210;0,04760;0,00000;0,00000
;0,26600;0,07606;0,04800;0,00000;0,00000
;0,26650;0,05876;0,04834;0,00000;0,00000
;0,26700;0,05940;0,04867;0,00000;0,00000
;0,26750;0,07349;0,04903;0,00000;0,00000
;0,26800;-0,00659;0,04943;0,00000;0,00000
;0,26850;0,05491;0,04980;0,00000;0,00000
;0,26900;-0,02966;0,05005;0,00000;0,00000
;0,26950;0,02608;0,05007;0,00000;0,00000
;0,27000;0,03633;0,04979;0,00000;0,00000
;0,27050;0,05171;0,04923;0,00000;0,00000
;0,27100;0,09079;0,04847;0,00000;0,00000
;0,27150;0,05876;0,04767;0,00000;0,00000
;0,27200;0,01135;0,04691;0,00000;0,00000
;0,27250;0,02865;0,04620;0,00000;0,00000
;0,27300;0,05555;0,04549;0,00000;0,00000
;0,27350;0,08695;0,04482;0,00000;0,00000
;0,27400;-0,09181;0,04419;0,00000;0,00000
;0,27450;0,02288;0,04351;0,00000;0,00000
;0,27500;0,03313;0,04263;0,00000;0,00000
;0,27550;0,07285;0,04156;0,00000;0,00000
;0,27600;0,02929;0,04042;0,00000;0,00000
;0,27650;0,04210;0,03929;0,00000;0,00000
;0,27700;-0,00980;0,03820;0,00000;0,00000
;0,27750;0,03826;0,03713;0,00000;0,00000
;0,27800;-0,00916;0,03603;0,00000;0,00000
;0,27850;-0,01044;0,03488;0,00000;0,00000
;0,27900;-0,01428;0,03359;0,00000;0,00000
;0,27950;0,03121;0,03213;0,00000;0,00000
;0,28000;0,02096;0,03052;0,00000;0,00000
;0,28050;0,04146;0,02884;0,00000;0,00000
;0,28100;-0,00467;0,02718;0,00000;0,00000
;0,28150;0,01071;0,02555;0,00000;0,00000
;0,28200;-0,01492;0,02396;0,00000;0,00000
;0,28250;0,01775;0,02237;0,00000;0,00000
;0,28300;0,00366;0,02079;0,00000;0,00000
;0,28350;0,00494;0,01924;0,00000;0,00000
;0,28400;0,00045;0,01771;0,00000;0,00000
;0,28450;-0,04119;0,01620;0,00000;0,00000
;0,28500;-0,01748;0,01466;0,00000;0,00000
;0,28550;0,02608;0,01305;0,00000;0,00000
;0,28600;-0,07258;0,01136;0,00000;0,00000
;0,28650;-0,03735;0,00958;0,00000;0,00000
;0,28700;-0,01556;0,00763;0,00000;0,00000
;0,28750;0,01135;0,00552;0,00000;0,00000
;0,28800;0,02224;0,00335;0,00000;0,00000
;0,28850;-0,04632;0,00123;0,00000;0,00000
;0,28900;0,00814;-0,00079;0,00000;0,00000
;0,28950;-0,03350;-0,00271;0,00000;0,00000
;0,29000;0,02160;-0,00451;0,00000;0,00000
;0,29050;0,04915;-0,00613;0,00000;0,00000
;0,29100;-0,00916;-0,00745;0,00000;0,00000
;0,29150;-0,02902;-0,00844;0,00000;0,00000
;0,29200;0,03185;-0,00912;0,00000;0,00000
;0,29250;0,01007;-0,00952;0,00000;0,00000
;0,29300;-0,02005;-0,00964;0,00000;0,00000
;0,29350;-0,00147;-0,00950;0,00000;0,00000
;0,29400;0,09143;-0,00915;0,00000;0,00000
;0,29450;0,02416;-0,00851;0,00000;0,00000
;0,29500;0,01455;-0,00750;0,00000;0,00000
;0,29550;-0,02709;-0,00616;0,00000;0,00000
