University of Stuttgart - IFT;time [s];force unfiltered [kN];force filtered [kN];drop no.;displacement [mm]
Date:;0,05000;0,02352;0,00001;1,00000;2264,00000
;0,05050;0,07285;0,00009;1,00000;2252,00000
Tester:;0,05100;-0,05785;0,00030;0,00000;2237,00000
;0,05150;0,06645;0,00067;0,00000;2220,00000
;0,05200;0,01135;0,00118;0,00000;2202,00000
Order-no:;0,05250;0,00814;0,00183;0,00000;2183,00000
;0,05300;0,03441;0,00264;0,00000;2158,00000
Rope-no.:;0,05350;0,14589;0,00362;0,00000;2133,00000
;0,05400;0,01839;0,00493;0,00000;2107,00000
Rope type:;0,05450;0,10937;0,00666;0,00000;2080,00000
Einfachseil;0,05500;0,00174;0,00883;0,00000;2047,00000
Client:;0,05550;0,10361;0,01140;0,00000;2018,00000
;0,05600;-0,00659;0,01429;0,00000;1984,00000
Model:;0,05650;0,06452;0,01739;0,00000;1943,00000
;0,05700;0,02224;0,02059;0,00000;1904,00000
Rope diameter:;0,05750;0,08887;0,02381;0,00000;1864,00000
9.2 mm;0,05800;-0,01044;0,02699;0,00000;1821,00000
Drop mass:;0,05850;0,08631;0,03007;0,00000;1778,00000
80 kg;0,05900;-0,03927;0,03296;0,00000;1733,00000
;0,05950;0,01391;0,03555;0,00000;1686,00000
Force max. filtered;0,06000;0,00686;0,03771;0,00000;1636,00000
7,18 kN;0,06050;0,04594;0,03936;0,00000;1585,00000
;0,06100;-0,00083;0,04051;0,00000;1532,00000
Force max. unfiltered:;0,06150;0,06388;0,04121;0,00000;1473,00000
7,54 kN;0,06200;-0,03671;0,04149;0,00000;1415,00000
;0,06250;-0,02902;0,04133;0,00000;1356,00000
Dynamic Elongation:;0,06300;-0,03414;0,04066;0,00000;1295,00000
34,74%;0,06350;0,02032;0,03942;0,00000;1233,00000
;0,06400;0,03633;0,03767;0,00000;1168,00000
Static Elongation:;0,06450;0,08310;0,03558;0,00000;1096,00000
8,70%;0,06500;0,02929;0,03338;0,00000;1028,00000
;0,06550;0,00238;0,03123;0,00000;957,00000
Number of drops without breakage:;0,06600;-0,00339;0,02918;0,00000;885,00000
;0,06650;0,02736;0,02721;0,00000;809,00000
;0,06700;0,06388;0,02534;0,00000;731,00000
H0 / Hmax:;0,06750;0,03762;0,02367;0,00000;653,00000
-2581 mm / -3582 mm;0,06800;0,00686;0,02227;0,00000;573,00000
Time interval:;0,06850;0,00558;0,02114;0,00000;491,00000
;0,06900;-0,02645;0,02020;0,00000;406,00000
;0,06950;0,02352;0,01936;0,00000;320,00000
Comment:;0,07000;0,03954;0,01857;0,00000;233,00000
"before testing:      after testing: ";0,07050;0,00174;0,01786;0,00000;142,00000
;0,07100;-0,02581;0,01723;0,00000;50,00000
Ambient temperature:;0,07150;0,04723;0,01663;0,00000;-43,00000
;0,07200;0,02096;0,01605;0,00000;-138,00000
;0,07250;0,05363;0,01557;0,00000;-236,00000
;0,07300;-0,04760;0,01521;0,00000;-334,00000
;0,07350;-0,02838;0,01491;0,00000;-435,00000
;0,07400;-0,06233;0,01451;0,00000;-539,00000
;0,07450;-0,02005;0,01388;0,00000;-644,00000
;0,07500;-0,03478;0,01291;0,00000;-750,00000
;0,07550;-0,02581;0,01161;0,00000;-859,00000
;0,07600;-0,02709;0,00996;0,00000;-970,00000
;0,07650;-0,04696;0,00801;0,00000;-1084,00000
;0,07700;0,02672;0,00579;0,00000;-1198,00000
;0,07750;-0,00980;0,00340;0,00000;-1315,00000
;0,07800;0,00750;0,00099;0,00000;-1441,00000
;0,07850;-0,00147;-0,00134;0,00000;-1562,00000
;0,07900;-0,03927;-0,00353;0,00000;-1685,00000
;0,07950;-0,00851;-0,00556;0,00000;-1809,00000
;0,08000;-0,00659;-0,00744;0,00000;-1935,00000
;0,08050;0,00558;-0,00914;0,00000;-2063,00000
;0,08100;0,02480;-0,01060;0,00000;-2201,00000
;0,08150;0,02032;-0,01176;0,00000;-2333,00000
;0,08200;0,00110;-0,01254;0,00000;-2466,00000
;0,08250;-0,01236;-0,01294;0,00000;-2599,00000
;0,08300;-0,01813;-0,01302;0,00000;-2721,00000
;0,08350;0,05555;-0,01284;0,00000;-2867,00000
;0,08400;0,04338;-0,01236;0,00000;-2980,00000
;0,08450;-0,00211;-0,01154;0,00000;-3086,00000
;0,08500;-0,00467;-0,01038;0,00000;-3194,00000
;0,08550;-0,04055;-0,00900;0,00000;-3290,00000
;0,08600;-0,00787;-0,00755;0,00000;-3381,00000
;0,08650;-0,03799;-0,00615;0,00000;-3451,00000
;0,08700;0,03313;-0,00489;0,00000;-3503,00000
;0,08750;-0,06618;-0,00380;0,00000;-3548,00000
;0,08800;-0,01556;-0,00293;0,00000;-3572,00000
;0,08850;-0,02197;-0,00235;0,00000;-3582,00000
;0,08900;0,03505;-0,00205;0,00000;-3580,00000
;0,08950;0,03505;-0,00194;0,00000;-3568,00000
;0,09000;0,02993;-0,00188;0,00000;-3546,00000
;0,09050;0,01263;-0,00174;0,00000;-3525,00000
;0,09100;0,08439;-0,00144;0,00000;-3477,00000
;0,09150;0,00302;-0,00091;0,00000;-3408,00000
;0,09200;0,02480;-0,00009;0,00000;-3354,00000
;0,09250;0,01135;0,00098;0,00000;-3301,00000
;0,09300;0,05876;0,00225;0,00000;-3249,00000
;0,09350;-0,03671;0,00369;0,00000;-3195,00000
;0,09400;0,04210;0,00524;0,00000;-3141,00000
;0,09450;-0,00723;0,00682;0,00000;-3089,00000
;0,09500;0,00494;0,00835;0,00000;-3038,00000
;0,09550;0,00558;0,00979;0,00000;-2989,00000
;0,09600;0,06132;0,01109;0,00000;-2941,00000
;0,09650;0,00942;0,01230;0,00000;-2894,00000
;0,09700;0,02608;0,01346;0,00000;-2851,00000
;0,09750;-0,02517;0,01454;0,00000;-2808,00000
;0,09800;0,04210;0,01549;0,00000;-2768,00000
;0,09850;0,05363;0,01632;0,00000;-2731,00000
;0,09900;0,06388;0,01710;0,00000;-2695,00000
;0,09950;0,02160;0,01793;0,00000;-2660,00000
;0,10000;0,01647;0,01885;0,00000;-2628,00000
;0,10050;-0,02517;0,01978;0,00000;-2597,00000
;0,10100;0,05876;0,02065;0,00000;-2569,00000
;0,10150;0,01904;0,02143;0,00000;-2541,00000
;0,10200;0,05876;0,02215;0,00000;-2517,00000
;0,10250;-0,00916;0,02283;0,00000;-2495,00000
;0,10300;0,10937;0,02351;0,00000;-2474,00000
;0,10350;0,00878;0,02422;0,00000;-2455,00000
;0,10400;0,04979;0,02502;0,00000;-2437,00000
;0,10450;0,02544;0,02590;0,00000;-2422,00000
;0,10500;0,10873;0,02685;0,00000;-2410,00000
;0,10550;0,04723;0,02793;0,00000;-2400,00000
;0,10600;0,05427;0,02921;0,00000;-2391,00000
;0,10650;0,03505;0,03066;0,00000;-2384,00000
;0,10700;0,07221;0,03224;0,00000;-2378,00000
;0,10750;0,01711;0,03390;0,00000;-2375,00000
;0,10800;0,09656;0,03562;0,00000;-2373,00000
;0,10850;0,01775;0,03736;0,00000;-2373,00000
;0,10900;0,07990;0,03911;0,00000;-2373,00000
;0,10950;-0,01941;0,04081;0,00000;-2377,00000
;0,11000;0,12283;0,04242;0,00000;-2383,00000
;0,11050;-0,00723;0,04390;0,00000;-2391,00000
;0,11100;0,02288;0,04523;0,00000;-2401,00000
;0,11150;0,05555;0,04635;0,00000;-2413,00000
;0,11200;0,04146;0,04721;0,00000;-2427,00000
;0,11250;-0,01941;0,04783;0,00000;-2443,00000
;0,11300;0,08695;0,04816;0,00000;-2463,00000
;0,11350;-0,00275;0,04821;0,00000;-2482,00000
;0,11400;0,05363;0,04802;0,00000;-2506,00000
;0,11450;0,02160;0,04761;0,00000;-2530,00000
;0,11500;0,04018;0,04700;0,00000;-2555,00000
;0,11550;-0,00531;0,04621;0,00000;-2580,00000
;0,11600;0,02352;0,04523;0,00000;-2609,00000
;0,11650;0,00558;0,04405;0,00000;-2643,00000
;0,11700;0,04979;0,04267;0,00000;-2676,00000
;0,11750;0,00494;0,04114;0,00000;-2708,00000
;0,11800;0,02352;0,03951;0,00000;-2746,00000
;0,11850;-0,02709;0,03779;0,00000;-2784,00000
;0,11900;0,04274;0,03596;0,00000;-2821,00000
;0,11950;-0,03286;0,03401;0,00000;-2863,00000
;0,12000;-0,00083;0,03196;0,00000;-2899,00000
;0,12050;0,02736;0,02978;0,00000;-2937,00000
;0,12100;0,01519;0,02753;0,00000;-2975,00000
;0,12150;-0,03350;0,02527;0,00000;-3011,00000
;0,12200;0,05363;0,02302;0,00000;-3046,00000
;0,12250;0,01968;0,02083;0,00000;-3082,00000
;0,12300;0,02993;0,01879;0,00000;-3112,00000
;0,12350;0,04851;0,01699;0,00000;-3139,00000
;0,12400;0,05620;0,01551;0,00000;-3163,00000
;0,12450;0,03569;0,01443;0,00000;-3185,00000
;0,12500;-0,02581;0,01376;0,00000;-3203,00000
;0,12550;0,02032;0,01342;0,00000;-3216,00000
;0,12600;0,04338;0,01331;0,00000;-3225,00000
;0,12650;-0,00531;0,01340;0,00000;-3230,00000
;0,12700;-0,02389;0,01363;0,00000;-3232,00000
;0,12750;0,01455;0,01390;0,00000;-3232,00000
;0,12800;-0,02389;0,01411;0,00000;-3226,00000
;0,12850;-0,02389;0,01420;0,00000;-3217,00000
;0,12900;-0,05657;0,01407;0,00000;-3205,00000
;0,12950;0,00750;0,01362;0,00000;-3191,00000
;0,13000;-0,03991;0,01283;0,00000;-3175,00000
;0,13050;-0,00531;0,01172;0,00000;-3157,00000
;0,13100;-0,03478;0,01031;0,00000;-3139,00000
;0,13150;-0,03350;0,00862;0,00000;-3121,00000
;0,13200;-0,01684;0,00667;0,00000;-3103,00000
;0,13250;0,01071;0,00452;0,00000;-3084,00000
;0,13300;0,00558;0,00228;0,00000;-3066,00000
;0,13350;0,00622;0,00006;0,00000;-3049,00000
;0,13400;-0,06490;-0,00205;0,00000;-3032,00000
;0,13450;-0,00083;-0,00406;0,00000;-3016,00000
;0,13500;0,00302;-0,00599;0,00000;-3001,00000
;0,13550;0,04018;-0,00776;0,00000;-2988,00000
;0,13600;0,06324;-0,00924;0,00000;-2976,00000
;0,13650;0,02608;-0,01027;0,00000;-2965,00000
;0,13700;-0,00211;-0,01078;0,00000;-2955,00000
;0,13750;0,00942;-0,01078;0,00000;-2947,00000
;0,13800;0,02480;-0,01035;0,00000;-2941,00000
;0,13850;0,04979;-0,00952;0,00000;-2935,00000
;0,13900;-0,02453;-0,00832;0,00000;-2931,00000
;0,13950;0,02672;-0,00682;0,00000;-2929,00000
;0,14000;-0,00531;-0,00511;0,00000;-2928,00000
;0,14050;0,02160;-0,00327;0,00000;-2928,00000
;0,14100;-0,02005;-0,00139;0,00000;-2928,00000
;0,14150;0,00622;0,00046;0,00000;-2931,00000
;0,14200;-0,03671;0,00219;0,00000;-2934,00000
;0,14250;0,03505;0,00371;0,00000;-2940,00000
;0,14300;-0,02838;0,00500;0,00000;-2946,00000
;0,14350;0,09271;0,00609;0,00000;-2953,00000
;0,14400;0,01583;0,00706;0,00000;-2960,00000
;0,14450;0,03633;0,00802;0,00000;-2969,00000
;0,14500;-0,03286;0,00901;0,00000;-2977,00000
;0,14550;0,04594;0,00996;0,00000;-2985,00000
;0,14600;-0,00339;0,01086;0,00000;-2995,00000
;0,14650;0,06773;0,01171;0,00000;-3003,00000
;0,14700;0,01775;0,01255;0,00000;-3011,00000
;0,14750;0,03569;0,01343;0,00000;-3020,00000
;0,14800;-0,02261;0,01435;0,00000;-3028,00000
;0,14850;-0,00147;0,01524;0,00000;-3036,00000
;0,14900;-0,01172;0,01599;0,00000;-3044,00000
;0,14950;0,09656;0,01658;0,00000;-3050,00000
;0,15000;0,04210;0,01708;0,00000;-3055,00000
;0,15050;0,05171;0,01765;0,00000;-3061,00000
;0,15100;0,04146;0,01834;0,00000;-3065,00000
;0,15150;0,09784;0,01922;0,00000;-3067,00000
;0,15200;0,02800;0,02034;0,00000;-3068,00000
;0,15250;0,10297;0,02174;0,00000;-3069,00000
;0,15300;0,04466;0,02344;0,00000;-3069,00000
;0,15350;0,10553;0,02545;0,00000;-3069,00000
;0,15400;-0,01428;0,02774;0,00000;-3068,00000
;0,15450;0,07926;0,03022;0,00000;-3065,00000
;0,15500;0,04402;0,03278;0,00000;-3062,00000
;0,15550;0,02800;0,03535;0,00000;-3058,00000
;0,15600;-0,02069;0,03781;0,00000;-3054,00000
;0,15650;0,03762;0,04001;0,00000;-3051,00000
;0,15700;-0,00980;0,04182;0,00000;-3047,00000
;0,15750;0,00878;0,04318;0,00000;-3042,00000
;0,15800;-0,03927;0,04399;0,00000;-3039,00000
;0,15850;0,06901;0,04422;0,00000;-3035,00000
;0,15900;0,03377;0,04392;0,00000;-3031,00000
;0,15950;0,08631;0,04324;0,00000;-3028,00000
;0,16000;-0,01108;0,04235;0,00000;-3024,00000
;0,16050;0,04402;0,04132;0,00000;-3022,00000
;0,16100;0,04082;0,04020;0,00000;-3021,00000
;0,16150;0,05620;0,03903;0,00000;-3019,00000
;0,16200;-0,02902;0,03789;0,00000;-3018,00000
;0,16250;0,06645;0,03675;0,00000;-3017,00000
;0,16300;0,03890;0,03564;0,00000;-3017,00000
;0,16350;0,06068;0,03461;0,00000;-3017,00000
;0,16400;0,00750;0,03372;0,00000;-3017,00000
;0,16450;0,06517;0,03299;0,00000;-3017,00000
;0,16500;0,05299;0,03244;0,00000;-3018,00000
;0,16550;0,08503;0,03211;0,00000;-3020,00000
;0,16600;0,01519;0,03206;0,00000;-3023,00000
;0,16650;0,03313;0,03227;0,00000;-3024,00000
;0,16700;0,04210;0,03266;0,00000;-3027,00000
;0,16750;0,04979;0,03319;0,00000;-3029,00000
;0,16800;0,03697;0,03382;0,00000;-3031,00000
;0,16850;0,06260;0,03455;0,00000;-3034,00000
;0,16900;0,00110;0,03535;0,00000;-3036,00000
;0,16950;0,01583;0,03615;0,00000;-3037,00000
;0,17000;-0,00211;0,03684;0,00000;-3038,00000
;0,17050;-0,01492;0,03732;0,00000;-3040,00000
;0,17100;-0,01620;0,03747;0,00000;-3041,00000
