University of Stuttgart - IFT;time [s];force unfiltered [kN];force filtered [kN];drop no.;displacement [mm]
;0,11600;0,01400;0,00100;0;-2373
;0,11600;-0,00100;0,00100;0;-2405
;0,11700;-0,01000;0,00100;0;-2439
;0,11700;-0,03400;0,00100;0;-2475
;0,11800;-0,02200;0,00100;0;-2513
;0,11800;-0,04700;0,00100;0;-2553
;0,11900;0,03800;0,00000;0;-2597
;0,11900;-0,02600;0,00000;0;-2639
;0,12000;-0,00800;-0,00100;0;-2683
;0,12000;-0,04700;-0,00200;0;-2727
;0,12100;0,02200;-0,00200;0;-2771
;0,12100;-0,02400;-0,00300;0;-2816
;0,12200;0,06900;-0,00400;0;-2858
;0,12200;-0,00100;-0,00500;0;-2902
;0,12300;0,00400;-0,00600;0;-2941
;0,12300;0,00500;-0,00600;0;-2976
;0,12400;-0,02200;-0,00600;0;-3008
;0,12400;0,00400;-0,00600;0;-3037
;0,12500;-0,03900;-0,00600;0;-3062
;0,12500;-0,02300;-0,00600;0;-3082
;0,12600;-0,01600;-0,00600;0;-3096
;0,12600;-0,02400;-0,00600;0;-3104
;0,12700;-0,01700;-0,00600;0;-3108
;0,12700;-0,04300;-0,00600;0;-3108
;0,12800;0,05100;-0,00600;0;-3103
;0,12800;-0,04500;-0,00700;0;-3093
;0,12900;0,00600;-0,00700;0;-3081
;0,12900;-0,03600;-0,00800;0;-3063
;0,13000;-0,02300;-0,00800;0;-3042
;0,13000;-0,03400;-0,00900;0;-3020
;0,13100;-0,04600;-0,01000;0;-2999
;0,13100;-0,02700;-0,01100;0;-2978
;0,13200;-0,03700;-0,01200;0;-2955
;0,13200;-0,02400;-0,01300;0;-2933
;0,13300;-0,03600;-0,01400;0;-2909
;0,13300;-0,04100;-0,01500;0;-2889
;0,13400;-0,02200;-0,01700;0;-2869
;0,13400;-0,01000;-0,01800;0;-2849
;0,13500;-0,05400;-0,01900;0;-2831
;0,13500;-0,04600;-0,02100;0;-2815
;0,13600;-0,02600;-0,02200;0;-2800
;0,13600;-0,03000;-0,02400;0;-2785
;0,13700;-0,07900;-0,02500;0;-2774
;0,13700;-0,03200;-0,02700;0;-2764
;0,13800;0,01200;-0,02800;0;-2757
;0,13800;-0,02000;-0,02900;0;-2750
;0,13900;-0,04000;-0,03000;0;-2744
;0,13900;-0,05900;-0,03100;0;-2741
;0,14000;-0,01500;-0,03200;0;-2740
;0,14000;-0,02700;-0,03300;0;-2739
;0,14100;-0,02000;-0,03300;0;-2739
;0,14100;-0,01800;-0,03400;0;-2741
;0,14200;-0,00200;-0,03400;0;-2746
;0,14200;-0,01700;-0,03400;0;-2752
;0,14300;-0,04300;-0,03400;0;-2759
;0,14300;-0,01100;-0,03400;0;-2767
;0,14400;-0,02000;-0,03300;0;-2778
;0,14400;0,01300;-0,03200;0;-2788
;0,14500;-0,01500;-0,03100;0;-2801
;0,14500;-0,00100;-0,03000;0;-2813
