University of Stuttgart - IFT;time [s];force unfiltered [kN];force filtered [kN];drop no.;displacement [mm]
;0,09700;0,06944;0,03914;0,00000;-2379,00000
;0,09750;0,00601;0,04033;0,00000;-2350,00000
;0,09800;0,04381;0,04138;0,00000;-2323,00000
;0,09850;0,03420;0,04227;0,00000;-2298,00000
;0,09900;0,02331;0,04296;0,00000;-2275,00000
;0,09950;0,02715;0,04344;0,00000;-2253,00000
;0,10000;0,12198;0,04373;0,00000;-2234,00000
;0,10050;0,01754;0,04393;0,00000;-2215,00000
;0,10100;0,02075;0,04411;0,00000;-2201,00000
;0,10150;0,03100;0,04421;0,00000;-2188,00000
;0,10200;0,06175;0,04422;0,00000;-2176,00000
;0,10250;0,02203;0,04415;0,00000;-2167,00000
;0,10300;0,03100;0,04399;0,00000;-2160,00000
;0,10350;0,03869;0,04375;0,00000;-2155,00000
;0,10400;0,01498;0,04341;0,00000;-2152,00000
;0,10450;0,04958;0,04296;0,00000;-2150,00000
;0,10500;0,02843;0,04243;0,00000;-2150,00000
;0,10550;-0,02859;0,04180;0,00000;-2150,00000
;0,10600;0,01946;0,04102;0,00000;-2154,00000
;0,10650;0,03164;0,04003;0,00000;-2161,00000
;0,10700;0,03356;0,03887;0,00000;-2168,00000
;0,10750;0,00985;0,03759;0,00000;-2178,00000
;0,10800;-0,00296;0,03622;0,00000;-2191,00000
;0,10850;-0,02667;0,03473;0,00000;-2205,00000
;0,10900;-0,00296;0,03306;0,00000;-2221,00000
;0,10950;-0,04076;0,03116;0,00000;-2240,00000
;0,11000;0,01434;0,02901;0,00000;-2261,00000
;0,11050;0,00409;0,02664;0,00000;-2283,00000
;0,11100;-0,05357;0,02409;0,00000;-2306,00000
;0,11150;0,03420;0,02140;0,00000;-2332,00000
;0,11200;0,01049;0,01862;0,00000;-2359,00000
;0,11250;-0,02987;0,01585;0,00000;-2388,00000
;0,11300;0,00985;0,01314;0,00000;-2420,00000
;0,11350;-0,00168;0,01052;0,00000;-2453,00000
;0,11400;-0,01706;0,00803;0,00000;-2489,00000
;0,11450;-0,03435;0,00567;0,00000;-2525,00000
;0,11500;0,00024;0,00342;0,00000;-2564,00000
;0,11550;0,01690;0,00129;0,00000;-2603,00000
;0,11600;-0,05550;-0,00069;0,00000;-2642,00000
;0,11650;0,01690;-0,00251;0,00000;-2680,00000
;0,11700;-0,01770;-0,00419;0,00000;-2721,00000
;0,11750;-0,02603;-0,00571;0,00000;-2758,00000
;0,11800;-0,01898;-0,00710;0,00000;-2792,00000
;0,11850;-0,01513;-0,00838;0,00000;-2824,00000
;0,11900;-0,00232;-0,00955;0,00000;-2855,00000
;0,11950;0,01818;-0,01059;0,00000;-2883,00000
;0,12000;-0,01834;-0,01144;0,00000;-2904,00000
;0,12050;0,04317;-0,01207;0,00000;-2920,00000
;0,12100;0,00921;-0,01243;0,00000;-2930,00000
;0,12150;0,05598;-0,01246;0,00000;-2934,00000
;0,12200;0,00601;-0,01209;0,00000;-2936,00000
;0,12250;-0,00296;-0,01134;0,00000;-2931,00000
;0,12300;-0,01834;-0,01028;0,00000;-2922,00000
;0,12350;0,02651;-0,00901;0,00000;-2912,00000
;0,12400;-0,02859;-0,00761;0,00000;-2899,00000
;0,12450;0,05727;-0,00614;0,00000;-2882,00000
;0,12500;0,00217;-0,00461;0,00000;-2862,00000
;0,12550;0,03933;-0,00301;0,00000;-2843,00000
;0,12600;0,02139;-0,00131;0,00000;-2819,00000
;0,12650;0,12133;0,00051;0,00000;-2801,00000
;0,12700;0,03164;0,00255;0,00000;-2781,00000
;0,12750;0,07905;0,00490;0,00000;-2761,00000
;0,12800;-0,01001;0,00754;0,00000;-2744,00000
;0,12850;0,06880;0,01039;0,00000;-2728,00000
;0,12900;-0,01065;0,01335;0,00000;-2714,00000
;0,12950;0,04509;0,01631;0,00000;-2700,00000
;0,13000;0,03612;0,01918;0,00000;-2686,00000
;0,13050;0,07200;0,02194;0,00000;-2675,00000
;0,13100;-0,00168;0,02457;0,00000;-2667,00000
;0,13150;0,16426;0,02710;0,00000;-2660,00000
;0,13200;0,00024;0,02960;0,00000;-2654,00000
;0,13250;0,09250;0,03211;0,00000;-2649,00000
;0,13300;0,03420;0,03462;0,00000;-2647,00000
;0,13350;0,09443;0,03712;0,00000;-2645,00000
;0,13400;0,00024;0,03957;0,00000;-2645,00000
;0,13450;0,04061;0,04192;0,00000;-2645,00000
;0,13500;0,03100;0,04405;0,00000;-2648,00000
;0,13550;0,03997;0,04590;0,00000;-2653,00000
;0,13600;0,04765;0,04744;0,00000;-2660,00000
;0,13650;0,04381;0,04867;0,00000;-2667,00000
;0,13700;0,02331;0,04961;0,00000;-2675,00000
;0,13750;0,08353;0,05027;0,00000;-2683,00000
;0,13800;0,03740;0,05070;0,00000;-2692,00000
;0,13850;0,03292;0,05094;0,00000;-2704,00000
;0,13900;-0,00424;0,05100;0,00000;-2713,00000
;0,13950;0,07905;0,05083;0,00000;-2723,00000
;0,14000;0,00537;0,05044;0,00000;-2733,00000
;0,14050;0,03356;0,04985;0,00000;-2745,00000
;0,14100;-0,02731;0,04905;0,00000;-2754,00000
;0,14150;0,03676;0,04799;0,00000;-2762,00000
;0,14200;0,07264;0,04668;0,00000;-2769,00000
;0,14250;0,03548;0,04522;0,00000;-2776,00000
;0,14300;-0,00488;0,04371;0,00000;-2782,00000
;0,14350;0,03100;0,04216;0,00000;-2786,00000
;0,14400;0,03676;0,04057;0,00000;-2789,00000
;0,14450;0,02395;0,03897;0,00000;-2791,00000
;0,14500;0,02203;0,03740;0,00000;-2792,00000
;0,14550;0,03292;0,03587;0,00000;-2792,00000
;0,14600;0,04189;0,03441;0,00000;-2792,00000
;0,14650;0,03612;0,03307;0,00000;-2789,00000
;0,14700;0,01049;0,03187;0,00000;-2785,00000
;0,14750;0,04637;0,03081;0,00000;-2781,00000
;0,14800;-0,03051;0,02987;0,00000;-2776,00000
;0,14850;0,01690;0,02899;0,00000;-2771,00000
;0,14900;0,02203;0,02810;0,00000;-2766,00000
;0,14950;0,01178;0,02718;0,00000;-2762,00000
;0,15000;-0,03884;0,02623;0,00000;-2757,00000
;0,15050;0,04125;0,02520;0,00000;-2753,00000
;0,15100;0,02203;0,02408;0,00000;-2749,00000
;0,15150;0,02523;0,02294;0,00000;-2745,00000
;0,15200;-0,01065;0,02182;0,00000;-2742,00000
;0,15250;-0,06383;0,02069;0,00000;-2740,00000
;0,15300;-0,00744;0,01945;0,00000;-2738,00000
;0,15350;-0,00873;0,01801;0,00000;-2736,00000
;0,15400;-0,03307;0,01637;0,00000;-2736,00000
;0,15450;-0,02346;0,01452;0,00000;-2735,00000
;0,15500;-0,04973;0,01246;0,00000;-2735,00000
;0,15550;-0,02346;0,01017;0,00000;-2735,00000
;0,15600;-0,02346;0,00766;0,00000;-2736,00000
;0,15650;-0,02923;0,00497;0,00000;-2738,00000
;0,15700;0,06303;0,00220;0,00000;-2741,00000
;0,15750;-0,02154;-0,00050;0,00000;-2743,00000
;0,15800;0,00409;-0,00301;0,00000;-2746,00000
;0,15850;-0,02218;-0,00525;0,00000;-2749,00000
;0,15900;0,03420;-0,00722;0,00000;-2751,00000
;0,15950;-0,00040;-0,00887;0,00000;-2754,00000
;0,16000;0,01434;-0,01015;0,00000;-2756,00000
;0,16050;-0,05742;-0,01106;0,00000;-2758,00000
;0,16100;0,02395;-0,01167;0,00000;-2760,00000
;0,16150;0,00473;-0,01204;0,00000;-2762,00000
;0,16200;0,04317;-0,01215;0,00000;-2763,00000
;0,16250;0,01626;-0,01193;0,00000;-2763,00000
;0,16300;0,02139;-0,01138;0,00000;-2764,00000
;0,16350;0,02075;-0,01048;0,00000;-2764,00000
;0,16400;0,04381;-0,00925;0,00000;-2764,00000
;0,16450;-0,00040;-0,00772;0,00000;-2764,00000
;0,16500;0,08482;-0,00590;0,00000;-2764,00000
;0,16550;0,02010;-0,00380;0,00000;-2763,00000
;0,16600;0,04381;-0,00140;0,00000;-2762,00000
;0,16650;0,04061;0,00124;0,00000;-2760,00000
;0,16700;0,04701;0,00408;0,00000;-2758,00000
;0,16750;0,01498;0,00708;0,00000;-2757,00000
;0,16800;0,08866;0,01017;0,00000;-2756,00000
;0,16850;0,01114;0,01333;0,00000;-2754,00000
;0,16900;0,08482;0,01653;0,00000;-2753,00000
;0,16950;0,01562;0,01974;0,00000;-2753,00000
;0,17000;0,07777;0,02292;0,00000;-2752,00000
;0,17050;0,03164;0,02604;0,00000;-2752,00000
;0,17100;0,09443;0,02908;0,00000;-2751,00000
;0,17150;-0,03435;0,03202;0,00000;-2751,00000
;0,17200;0,08353;0,03479;0,00000;-2751,00000
;0,17250;0,06559;0,03733;0,00000;-2751,00000
;0,17300;0,03420;0,03966;0,00000;-2751,00000
;0,17350;0,02139;0,04178;0,00000;-2751,00000
;0,17400;0,07136;0,04364;0,00000;-2752,00000
;0,17450;0,01049;0,04524;0,00000;-2753,00000
;0,17500;0,02651;0,04654;0,00000;-2754,00000
;0,17550;0,00409;0,04750;0,00000;-2755,00000
;0,17600;0,05855;0,04807;0,00000;-2755,00000
;0,17650;0,02331;0,04829;0,00000;-2756,00000
;0,17700;0,06816;0,04820;0,00000;-2757,00000
;0,17750;0,01626;0,04788;0,00000;-2757,00000
;0,17800;0,02523;0,04737;0,00000;-2757,00000
;0,17850;0,00921;0,04667;0,00000;-2758,00000
;0,17900;0,05598;0,04578;0,00000;-2758,00000
;0,17950;0,02459;0,04472;0,00000;-2758,00000
;0,18000;0,06111;0,04358;0,00000;-2758,00000
;0,18050;0,03676;0,04242;0,00000;-2758,00000
;0,18100;0,06816;0,04132;0,00000;-2758,00000
;0,18150;0,03164;0,04032;0,00000;-2758,00000
;0,18200;-0,00552;0,03946;0,00000;-2758,00000
;0,18250;0,02907;0,03867;0,00000;-2757,00000
;0,18300;0,03612;0,03789;0,00000;-2757,00000
;0,18350;0,01818;0,03711;0,00000;-2757,00000
;0,18400;0,05855;0,03634;0,00000;-2757,00000
;0,18450;0,02651;0,03562;0,00000;-2756,00000
;0,18500;0,01946;0,03496;0,00000;-2756,00000
;0,18550;-0,01577;0,03433;0,00000;-2756,00000
;0,18600;-0,00744;0,03365;0,00000;-2755,00000
;0,18650;-0,00488;0,03282;0,00000;-2755,00000
;0,18700;0,03548;0,03180;0,00000;-2755,00000
;0,18750;-0,03628;0,03060;0,00000;-2755,00000
;0,18800;0,01946;0,02922;0,00000;-2755,00000
;0,18850;-0,02987;0,02765;0,00000;-2755,00000
;0,18900;-0,01513;0,02587;0,00000;-2755,00000
;0,18950;-0,01770;0,02387;0,00000;-2755,00000
;0,19000;0,00024;0,02167;0,00000;-2755,00000
;0,19050;-0,03756;0,01928;0,00000;-2755,00000
;0,19100;-0,00873;0,01674;0,00000;-2755,00000
;0,19150;-0,03371;0,01406;0,00000;-2756,00000
;0,19200;-0,02154;0,01126;0,00000;-2756,00000
;0,19250;-0,04461;0,00836;0,00000;-2756,00000
;0,19300;0,00537;0,00539;0,00000;-2756,00000
;0,19350;0,04573;0,00242;0,00000;-2756,00000
;0,19400;-0,03115;-0,00039;0,00000;-2756,00000
;0,19450;-0,01770;-0,00297;0,00000;-2756,00000
;0,19500;0,00217;-0,00530;0,00000;-2756,00000
;0,19550;-0,00873;-0,00737;0,00000;-2756,00000
;0,19600;-0,01706;-0,00917;0,00000;-2756,00000
;0,19650;0,00601;-0,01070;0,00000;-2756,00000
;0,19700;-0,01962;-0,01195;0,00000;-2756,00000
;0,19750;-0,01577;-0,01294;0,00000;-2756,00000
;0,19800;-0,01898;-0,01371;0,00000;-2756,00000
;0,19850;0,02907;-0,01427;0,00000;-2756,00000
;0,19900;-0,03499;-0,01463;0,00000;-2756,00000
;0,19950;-0,03051;-0,01480;0,00000;-2756,00000
;0,20000;0,04189;-0,01483;0,00000;-2756,00000
;0,20050;0,03292;-0,01470;0,00000;-2756,00000
;0,20100;0,00152;-0,01432;0,00000;-2756,00000
;0,20150;-0,00168;-0,01366;0,00000;-2756,00000
;0,20200;-0,00040;-0,01277;0,00000;-2756,00000
;0,20250;0,06431;-0,01169;0,00000;-2756,00000
;0,20300;0,01114;-0,01038;0,00000;-2756,00000
;0,20350;0,09763;-0,00879;0,00000;-2756,00000
;0,20400;0,01434;-0,00686;0,00000;-2756,00000
;0,20450;0,08866;-0,00456;0,00000;-2756,00000
;0,20500;0,01562;-0,00189;0,00000;-2756,00000
;0,20550;0,07008;0,00111;0,00000;-2756,00000
;0,20600;0,02139;0,00439;0,00000;-2756,00000
;0,20650;0,04958;0,00785;0,00000;-2756,00000
;0,20700;-0,03051;0,01139;0,00000;-2756,00000
;0,20750;0,06431;0,01487;0,00000;-2756,00000
;0,20800;0,04189;0,01819;0,00000;-2756,00000
;0,20850;0,08994;0,02135;0,00000;-2756,00000
;0,20900;0,00921;0,02440;0,00000;-2756,00000
;0,20950;0,08738;0,02733;0,00000;-2756,00000
;0,21000;0,00409;0,03013;0,00000;-2756,00000
;0,21050;0,05214;0,03276;0,00000;-2756,00000
;0,21100;0,04189;0,03517;0,00000;-2756,00000
;0,21150;0,02651;0,03734;0,00000;-2756,00000
;0,21200;0,05022;0,03925;0,00000;-2756,00000
;0,21250;0,05727;0,04089;0,00000;-2756,00000
;0,21300;0,00793;0,04229;0,00000;-2756,00000
;0,21350;0,10724;0,04345;0,00000;-2756,00000
;0,21400;0,04445;0,04444;0,00000;-2756,00000
;0,21450;0,07777;0,04535;0,00000;-2756,00000
;0,21500;0,02715;0,04620;0,00000;-2756,00000
;0,21550;0,07136;0,04702;0,00000;-2756,00000
;0,21600;0,01434;0,04777;0,00000;-2756,00000
;0,21650;0,05534;0,04844;0,00000;-2756,00000
;0,21700;0,01114;0,04896;0,00000;-2756,00000
;0,21750;0,06880;0,04933;0,00000;-2756,00000
;0,21800;0,01818;0,04952;0,00000;-2756,00000
;0,21850;0,07649;0,04957;0,00000;-2756,00000
;0,21900;-0,01770;0,04948;0,00000;-2756,00000
;0,21950;0,05855;0,04923;0,00000;-2756,00000
;0,22000;0,02010;0,04880;0,00000;-2756,00000
;0,22050;0,04253;0,04821;0,00000;-2756,00000
;0,22100;-0,01129;0,04746;0,00000;-2756,00000
;0,22150;0,02267;0,04652;0,00000;-2756,00000
;0,22200;0,03036;0,04537;0,00000;-2756,00000
;0,22250;0,05086;0,04405;0,00000;-2756,00000
;0,22300;-0,00937;0,04261;0,00000;-2756,00000
;0,22350;0,02907;0,04109;0,00000;-2756,00000
;0,22400;0,03804;0,03948;0,00000;-2756,00000
;0,22450;0,01306;0,03784;0,00000;-2756,00000
;0,22500;0,01946;0,03619;0,00000;-2756,00000
;0,22550;0,07777;0,03458;0,00000;-2756,00000
;0,22600;0,01946;0,03308;0,00000;-2756,00000
;0,22650;0,10980;0,03178;0,00000;-2756,00000
;0,22700;-0,01257;0,03077;0,00000;-2756,00000
;0,22750;0,01818;0,03004;0,00000;-2756,00000
;0,22800;-0,01577;0,02950;0,00000;-2756,00000
;0,22850;-0,02795;0,02900;0,00000;-2756,00000
;0,22900;0,01946;0,02842;0,00000;-2756,00000
;0,22950;-0,00552;0,02769;0,00000;-2756,00000
;0,23000;-0,02154;0,02678;0,00000;-2756,00000
;0,23050;0,03292;0,02567;0,00000;0,00000
;0,23100;0,02459;0,02441;0,00000;0,00000
;0,23150;0,00921;0,02307;0,00000;0,00000
;0,23200;-0,01065;0,02170;0,00000;0,00000
;0,23250;-0,03243;0,02029;0,00000;0,00000
;0,23300;0,00152;0,01878;0,00000;0,00000
;0,23350;-0,02346;0,01716;0,00000;0,00000
;0,23400;-0,01193;0,01541;0,00000;0,00000
;0,23450;-0,02026;0,01354;0,00000;0,00000
;0,23500;-0,02987;0,01154;0,00000;0,00000
;0,23550;-0,04076;0,00942;0,00000;0,00000
;0,23600;0,02075;0,00716;0,00000;0,00000
;0,23650;-0,02923;0,00483;0,00000;0,00000
;0,23700;0,04894;0,00252;0,00000;0,00000
;0,23750;-0,00488;0,00034;0,00000;0,00000
;0,23800;0,01049;-0,00162;0,00000;0,00000
;0,23850;-0,03628;-0,00331;0,00000;0,00000
;0,23900;-0,02026;-0,00477;0,00000;0,00000
;0,23950;-0,02282;-0,00606;0,00000;0,00000
;0,24000;0,08097;-0,00719;0,00000;0,00000
;0,24050;-0,03564;-0,00809;0,00000;0,00000
;0,24100;0,02267;-0,00870;0,00000;0,00000
;0,24150;0,04317;-0,00900;0,00000;0,00000
;0,24200;0,04317;-0,00895;0,00000;0,00000
;0,24250;0,00281;-0,00850;0,00000;0,00000
;0,24300;0,05598;-0,00765;0,00000;0,00000
;0,24350;0,02843;-0,00642;0,00000;0,00000
;0,24400;0,05855;-0,00479;0,00000;0,00000
;0,24450;0,02203;-0,00280;0,00000;0,00000
;0,24500;0,07649;-0,00046;0,00000;0,00000
;0,24550;0,00793;0,00219;0,00000;0,00000
;0,24600;0,03740;0,00508;0,00000;0,00000
;0,24650;-0,01449;0,00809;0,00000;0,00000
;0,24700;0,01626;0,01108;0,00000;0,00000
;0,24750;0,04894;0,01394;0,00000;0,00000
;0,24800;0,04509;0,01663;0,00000;0,00000
;0,24850;0,05214;0,01917;0,00000;0,00000
;0,24900;0,07456;0,02162;0,00000;0,00000
;0,24950;0,04061;0,02403;0,00000;0,00000
;0,25000;0,08417;0,02642;0,00000;0,00000
;0,25050;0,00729;0,02880;0,00000;0,00000
;0,25100;0,07841;0,03115;0,00000;0,00000
;0,25150;0,01626;0,03343;0,00000;0,00000
;0,25200;0,06623;0,03560;0,00000;0,00000
;0,25250;0,03420;0,03763;0,00000;0,00000
;0,25300;0,06752;0,03952;0,00000;0,00000
;0,25350;0,00024;0,04124;0,00000;0,00000
;0,25400;0,14120;0,04280;0,00000;0,00000
;0,25450;-0,01321;0,04422;0,00000;0,00000
;0,25500;0,03869;0,04553;0,00000;0,00000
;0,25550;0,02779;0,04664;0,00000;0,00000
;0,25600;0,06047;0,04751;0,00000;0,00000
;0,25650;0,05406;0,04816;0,00000;0,00000
;0,25700;0,08546;0,04866;0,00000;0,00000
;0,25750;-0,01770;0,04905;0,00000;0,00000
;0,25800;0,04637;0,04932;0,00000;0,00000
;0,25850;-0,00488;0,04938;0,00000;0,00000
;0,25900;0,06047;0,04920;0,00000;0,00000
;0,25950;-0,02795;0,04876;0,00000;0,00000
;0,26000;0,01562;0,04804;0,00000;0,00000
;0,26050;-0,01449;0,04697;0,00000;0,00000
;0,26100;0,03933;0,04556;0,00000;0,00000
;0,26150;0,01882;0,04384;0,00000;0,00000
;0,26200;0,06111;0,04191;0,00000;0,00000
;0,26250;-0,02474;0,03987;0,00000;0,00000
;0,26300;0,03933;0,03778;0,00000;0,00000
;0,26350;0,01818;0,03565;0,00000;0,00000
;0,26400;0,01498;0,03353;0,00000;0,00000
;0,26450;0,00793;0,03146;0,00000;0,00000
;0,26500;0,05727;0,02946;0,00000;0,00000
;0,26550;0,05214;0,02761;0,00000;0,00000
;0,26600;0,06303;0,02601;0,00000;0,00000
;0,26650;0,01946;0,02475;0,00000;0,00000
;0,26700;0,02523;0,02385;0,00000;0,00000
;0,26750;0,01818;0,02325;0,00000;0,00000
;0,26800;0,02010;0,02289;0,00000;0,00000
;0,26850;-0,01513;0,02269;0,00000;0,00000
;0,26900;0,00665;0,02257;0,00000;0,00000
;0,26950;0,02459;0,02243;0,00000;0,00000
;0,27000;-0,02026;0,02224;0,00000;0,00000
;0,27050;-0,00937;0,02195;0,00000;0,00000
;0,27100;0,01754;0,02151;0,00000;0,00000
;0,27150;0,03804;0,02092;0,00000;0,00000
;0,27200;-0,01321;0,02023;0,00000;0,00000
;0,27250;0,02715;0,01948;0,00000;0,00000
;0,27300;-0,00424;0,01869;0,00000;0,00000
;0,27350;-0,01834;0,01785;0,00000;0,00000
;0,27400;-0,00552;0,01693;0,00000;0,00000
;0,27450;0,00409;0,01591;0,00000;0,00000
;0,27500;-0,02923;0,01477;0,00000;0,00000
;0,27550;-0,00680;0,01351;0,00000;0,00000
;0,27600;-0,05293;0,01211;0,00000;0,00000
;0,27650;0,00473;0,01053;0,00000;0,00000
;0,27700;-0,01449;0,00878;0,00000;0,00000
;0,27750;-0,02218;0,00690;0,00000;0,00000
;0,27800;-0,02474;0,00494;0,00000;0,00000
;0,27850;0,01242;0,00291;0,00000;0,00000
;0,27900;-0,06703;0,00086;0,00000;0,00000
;0,27950;0,00281;-0,00121;0,00000;0,00000
;0,28000;0,01434;-0,00327;0,00000;0,00000
;0,28050;0,02203;-0,00523;0,00000;0,00000
;0,28100;-0,01641;-0,00698;0,00000;0,00000
;0,28150;0,04509;-0,00845;0,00000;0,00000
;0,28200;0,00793;-0,00957;0,00000;0,00000
;0,28250;0,02907;-0,01029;0,00000;0,00000
;0,28300;0,00921;-0,01060;0,00000;0,00000
;0,28350;0,05727;-0,01047;0,00000;0,00000
;0,28400;0,04765;-0,00988;0,00000;0,00000
;0,28450;0,03292;-0,00880;0,00000;0,00000
;0,28500;0,00665;-0,00724;0,00000;0,00000
;0,28550;0,08353;-0,00527;0,00000;0,00000
;0,28600;0,01754;-0,00294;0,00000;0,00000
;0,28650;0,06367;-0,00026;0,00000;0,00000
;0,28700;0,01818;0,00270;0,00000;0,00000
;0,28750;0,02843;0,00587;0,00000;0,00000
;0,28800;-0,01962;0,00910;0,00000;0,00000
;0,28850;0,07008;0,01228;0,00000;0,00000
;0,28900;0,00217;0,01532;0,00000;0,00000
;0,28950;0,05022;0,01819;0,00000;0,00000
;0,29000;0,02907;0,02086;0,00000;0,00000
;0,29050;0,09763;0,02335;0,00000;0,00000
;0,29100;0,02075;0,02571;0,00000;0,00000
;0,29150;0,07328;0,02800;0,00000;0,00000
;0,29200;0,06623;0,03022;0,00000;0,00000
;0,29250;0,03740;0,03241;0,00000;0,00000
;0,29300;0,03804;0,03455;0,00000;0,00000
;0,29350;0,12198;0,03663;0,00000;0,00000
;0,29400;0,03484;0,03868;0,00000;0,00000
;0,29450;0,08353;0,04075;0,00000;0,00000
;0,29500;0,04445;0,04283;0,00000;0,00000
;0,29550;0,08738;0,04490;0,00000;0,00000
;0,29600;0,04830;0,04695;0,00000;0,00000
