University of Stuttgart - IFT;time [s];force unfiltered [kN];force filtered [kN];drop no.;displacement [mm]
Date:;0,05000;-0,03884;-0,00002;1,00000;2272,00000
;0,05050;0,03933;-0,00008;1,00000;2261,00000
Tester:;0,05100;0,00601;-0,00016;0,00000;2247,00000
;0,05150;0,04637;-0,00020;0,00000;2230,00000
;0,05200;0,06752;-0,00010;0,00000;2211,00000
Order-no:;0,05250;0,01114;0,00026;0,00000;2192,00000
;0,05300;0,04830;0,00092;0,00000;2171,00000
Rope-no,:;0,05350;0,05727;0,00190;0,00000;2147,00000
;0,05400;0,00345;0,00321;0,00000;2122,00000
Rope type:;0,05450;0,09699;0,00483;0,00000;2095,00000
Einfachseil;0,05500;0,05214;0,00676;0,00000;2067,00000
Client:;0,05550;0,04637;0,00903;0,00000;2036,00000
;0,05600;0,03292;0,01160;0,00000;2003,00000
Model:;0,05650;0,08930;0,01440;0,00000;1970,00000
;0,05700;0,04125;0,01740;0,00000;1933,00000
Rope diameter:;0,05750;0,01114;0,02055;0,00000;1894,00000
8,9 mm;0,05800;-0,01001;0,02371;0,00000;1854,00000
Drop mass:;0,05850;0,10788;0,02673;0,00000;1813,00000
80 kg;0,05900;0,00985;0,02956;0,00000;1768,00000
;0,05950;0,03933;0,03221;0,00000;1719,00000
Force max, filtered;0,06000;0,04253;0,03464;0,00000;1675,00000
8,33 kN;0,06050;0,04830;0,03681;0,00000;1624,00000
;0,06100;-0,02731;0,03870;0,00000;1572,00000
Force max, unfiltered:;0,06150;0,06367;0,04025;0,00000;1519,00000
8,50 kN;0,06200;0,01049;0,04143;0,00000;1463,00000
;0,06250;0,07392;0,04227;0,00000;1405,00000
Dynamic Elongation:;0,06300;-0,02154;0,04279;0,00000;1344,00000
27,09%;0,06350;0,06047;0,04303;0,00000;1283,00000
;0,06400;-0,02731;0,04296;0,00000;1215,00000
Static Elongation:;0,06450;0,01114;0,04258;0,00000;1145,00000
4,70%;0,06500;0,05022;0,04186;0,00000;1083,00000
;0,06550;0,00921;0,04086;0,00000;1014,00000
"Number of
drops without breakage:";0,06600;0,00793;0,03963;0,00000;942,00000
;0,06650;0,05983;0,03823;0,00000;864,00000
;0,06700;0,03356;0,03673;0,00000;788,00000
H0 / Hmax:;0,06750;0,04445;0,03524;0,00000;710,00000
-2439 mm / -3181 mm;0,06800;-0,04396;0,03379;0,00000;631,00000
;0,06850;0,02715;0,03236;0,00000;550,00000
Comment:;0,06900;-0,01001;0,03088;0,00000;474,00000
"before testing:      after testing: ";0,06950;-0,00296;0,02933;0,00000;376,00000
;0,07000;0,00281;0,02767;0,00000;290,00000
Ambient temperature:;0,07050;0,02331;0,02594;0,00000;201,00000
;0,07100;-0,03820;0,02413;0,00000;117,00000
;0,07150;0,03676;0,02227;0,00000;18,00000
;0,07200;-0,05293;0,02036;0,00000;-69,00000
;0,07250;0,01754;0,01838;0,00000;-179,00000
;0,07300;0,01242;0,01636;0,00000;-278,00000
;0,07350;0,00152;0,01435;0,00000;-378,00000
;0,07400;0,03548;0,01242;0,00000;-479,00000
;0,07450;-0,03564;0,01062;0,00000;-590,00000
;0,07500;0,00409;0,00896;0,00000;-689,00000
;0,07550;-0,00744;0,00741;0,00000;-797,00000
;0,07600;-0,05870;0,00593;0,00000;-906,00000
;0,07650;-0,02795;0,00446;0,00000;-1017,00000
;0,07700;-0,00040;0,00292;0,00000;-1131,00000
;0,07750;-0,00680;0,00132;0,00000;-1246,00000
;0,07800;0,01946;-0,00027;0,00000;-1363,00000
;0,07850;0,01882;-0,00176;0,00000;-1483,00000
;0,07900;0,05791;-0,00305;0,00000;-1605,00000
;0,07950;-0,04268;-0,00405;0,00000;-1727,00000
;0,08000;0,01626;-0,00474;0,00000;-1852,00000
;0,08050;-0,01321;-0,00517;0,00000;-1979,00000
;0,08100;0,04765;-0,00539;0,00000;-2108,00000
;0,08150;-0,03435;-0,00537;0,00000;-2239,00000
;0,08200;0,04765;-0,00514;0,00000;-2370,00000
;0,08250;-0,03051;-0,00473;0,00000;-2502,00000
;0,08300;-0,00424;-0,00417;0,00000;-2629,00000
;0,08350;-0,01577;-0,00355;0,00000;-2749,00000
;0,08400;0,04317;-0,00291;0,00000;-2860,00000
;0,08450;-0,00488;-0,00225;0,00000;-2957,00000
;0,08500;0,02843;-0,00154;0,00000;-3042,00000
;0,08550;0,07777;-0,00074;0,00000;-3105,00000
;0,08600;0,03612;0,00025;0,00000;-3148,00000
;0,08650;0,00921;0,00149;0,00000;-3172,00000
;0,08700;0,02715;0,00296;0,00000;-3181,00000
;0,08750;-0,01065;0,00458;0,00000;-3176,00000
;0,08800;0,04637;0,00627;0,00000;-3158,00000
;0,08850;0,02203;0,00800;0,00000;-3136,00000
;0,08900;0,07777;0,00976;0,00000;-3099,00000
;0,08950;0,05022;0,01162;0,00000;-3029,00000
;0,09000;0,02779;0,01360;0,00000;-2977,00000
;0,09050;0,00729;0,01568;0,00000;-2927,00000
;0,09100;0,05022;0,01779;0,00000;-2876,00000
;0,09150;-0,00168;0,01986;0,00000;-2825,00000
;0,09200;0,13223;0,02186;0,00000;-2771,00000
;0,09250;-0,00616;0,02384;0,00000;-2724,00000
;0,09300;0,05791;0,02583;0,00000;-2678,00000
;0,09350;0,03484;0,02779;0,00000;-2633,00000
;0,09400;0,04830;0,02969;0,00000;-2593,00000
;0,09450;0,03228;0,03151;0,00000;-2552,00000
;0,09500;0,08161;0,03325;0,00000;-2513,00000
;0,09550;-0,00552;0,03490;0,00000;-2477,00000
;0,09600;0,07008;0,03644;0,00000;-2442,00000
;0,09650;0,03740;0,03785;0,00000;-2409,00000
